query,relevant_ids,retrieved_ids,mrr,precision@1,recall@1,ndcg@1,precision@3,recall@3,ndcg@3,precision@5,recall@5,ndcg@5,,query,relevant_ids,retrieved_ids,mrr,precision@1,recall@1,ndcg@1,precision@3,recall@3,ndcg@3,precision@5,recall@5,ndcg@5,,query,relevant_ids,retrieved_ids,mrr,precision@1,recall@1,ndcg@1,precision@3,recall@3,ndcg@3,precision@5,recall@5,ndcg@5
What is the minimum age for a child to be held criminally liable?,penal_Article_40,penal_Article_40;penal_Article_112;penal_Article_425;penal_Article_429;penal_Article_452;penal_Article_113;penal_Article_453;penal_Article_41;penal_Article_430;penal_Article_419,1,1,1,1,0.3333,1,1,0.2,1,1,,What is Galungan?,ceremony_1,ceremony_1;ceremony_2;ceremony_7;ceremony_13;ceremony_12;taboo_1;taboo_21;ceremony_5,1,1,1,1,0.3333,1,1,0.2,1,1,,What is the minimum passport validity required to enter Indonesia?,,immigration_Article_8;immigration_Article_119;immigration_Article_113;immigration_Article_9;immigration_Article_44;immigration_Article_45;immigration_Article_46;immigration_Article_26;immigration_Article_126;immigration_Article_27,0,0,0,0,0,0,0,0,0,0
Who is considered a 'Child' under the Penal Code?,penal_Article_150,penal_Article_425;penal_Article_150;penal_Article_453;penal_Article_419;penal_Article_40;penal_Article_452;penal_Article_429;penal_Article_113;penal_Article_430;penal_Article_421,0.5,0,0,0,0.3333,1,0.6309,0.2,1,0.6309,,When does Nyepi happen?,ceremony_3,ceremony_3;taboo_31;ceremony_4;ceremony_19;ceremony_8;ceremony_10;ceremony_2;ceremony_6;ceremony_16;taboo_11,1,1,1,1,0.3333,1,1,0.2,1,1,,Who is required to have a valid visa to enter Indonesia?,immigration_Article_8,immigration_Article_8;immigration_Article_46;immigration_Article_45;immigration_Article_119;immigration_Article_35;immigration_Article_13;immigration_Article_38;immigration_Article_36;immigration_Article_43;immigration_Article_48,1,1,1,1,0.3333,1,1,0.2,1,1
What are the five main types of principal sentences a judge can impose?,penal_Article_65,penal_Article_128;penal_Article_115;penal_Article_114;penal_Article_130;penal_Article_57;penal_Article_100;penal_Article_116;penal_Article_64;penal_Article_119;penal_Article_65,0.1,0,0,0,0,0,0,0,0,0,,What should tourists wear to enter a Balinese temple?,ceremony_7;taboo_2,taboo_27;ceremony_7;taboo_2;ceremony_23;ceremony_1;taboo_7;ceremony_4;ceremony_19;ceremony_6;taboo_29,0.5,0,0,0,0.6667,1,0.6934,0.4,1,0.6934,,Where must every traveler undergo immigration checks upon arrival?,immigration_Article_9,immigration_Article_9;immigration_Article_41;immigration_Article_113;immigration_Article_22;immigration_Article_18;immigration_Article_21;immigration_Article_19;immigration_Article_79;immigration_Article_80;immigration_Article_8,1,1,1,1,0.3333,1,1,0.2,1,1
How many years of probation are mandatory for capital punishment?,penal_Article_100,penal_Article_100;penal_Article_459;penal_Article_90;penal_Article_68;penal_Article_101;penal_Article_142;penal_Article_359;penal_Article_469;penal_Article_599;penal_Article_121,1,1,1,1,0.3333,1,1,0.2,1,1,,What is a penjor?,ceremony_1,ceremony_1;ceremony_6;taboo_28;taboo_26;taboo_21;ceremony_5;taboo_6;ceremony_22;taboo_15;taboo_14,1,1,1,1,0.3333,1,1,0.2,1,1,,Why can an immigration officer search a traveler's luggage or person?,immigration_Article_9,immigration_Article_9;immigration_Article_113;immigration_Article_72;immigration_Article_21;immigration_Article_20;immigration_Article_58;immigration_Article_106;immigration_Article_74;immigration_Article_117;immigration_Article_41,1,1,1,1,0.3333,1,1,0.2,1,1
Why is capital punishment treated as a special sentence rather than a principal one?,penal_Article_67;penal_Article_98,penal_Article_67;penal_Article_98;penal_Article_57;penal_Article_125;penal_Article_128;penal_Article_64;penal_Article_99;penal_Article_129;penal_Article_65;penal_Article_130,1,1,0.5,1,0.6667,1,1,0.4,1,1,,What happens during the Day of Silence?,ceremony_3,taboo_31;ceremony_3;taboo_32;taboo_28;taboo_39;ceremony_2;taboo_1;ceremony_5;ceremony_1;ceremony_6,0.5,0,0,0,0.3333,1,0.6309,0.2,1,0.6309,,What are the four main types of visas available under Indonesian law?,immigration_Article_34,immigration_Article_36;immigration_Article_38;immigration_Article_35;immigration_Article_49;immigration_Article_37;immigration_Article_39;immigration_Article_46;immigration_Article_40;immigration_Article_1;immigration_Article_24,0,0,0,0,0,0,0,0,0,0
Until when can a criminal complaint be withdrawn by the victim?,,penal_Article_30;penal_Article_27;penal_Article_412;penal_Article_411;penal_Article_25;penal_Article_26;penal_Article_440;penal_Article_29;penal_Article_483;penal_Article_361,0,0,0,0,0,0,0,0,0,0,,What is Melasti?,ceremony_4,ceremony_4;taboo_14;ceremony_3;taboo_11;ceremony_8;ceremony_22;ceremony_10;ceremony_14;ceremony_13;ceremony_5,1,1,1,1,0.3333,1,1,0.2,1,1,,How is a 'Visit Visa' defined in terms of its allowed purposes?,immigration_Article_38,immigration_Article_41;immigration_Article_38;immigration_Article_40;immigration_Article_50;immigration_Article_45;immigration_Article_34;immigration_Article_48;immigration_Article_11;immigration_Article_125;immigration_Article_36,0.5,0,0,0,0.3333,1,0.6309,0.2,1,0.6309
Who has the right to file a complaint if a victim is under 16 years old?,penal_Article_25,penal_Article_25;penal_Article_412;penal_Article_26;penal_Article_411;penal_Article_27;penal_Article_437;penal_Article_440;penal_Article_41;penal_Article_442;penal_Article_439,1,1,1,1,0.3333,1,1,0.2,1,1,,Why do Balinese cremate their dead?,ceremony_8,ceremony_8;ceremony_9;ceremony_4;ceremony_23;ceremony_1;ceremony_5;ceremony_7;taboo_27;taboo_13;ceremony_10,1,1,1,1,0.3333,1,1,0.2,1,1,,When can a 'Visa on Arrival' be issued at an immigration checkpoint?,immigration_Article_41,immigration_Article_41;immigration_Article_22;immigration_Article_44;immigration_Article_9;immigration_Article_113;immigration_Article_11;immigration_Article_4;immigration_Article_21;immigration_Article_114;immigration_Article_68,1,1,1,1,0.3333,1,1,0.2,1,1
How is the term 'Person' defined in the Penal Code?,penal_Article_145,penal_Article_20;penal_Article_369;penal_Article_22;penal_Article_248;penal_Article_249;penal_Article_71;penal_Article_470;penal_Article_131;penal_Article_282;penal_Article_473,0,0,0,0,0,0,0,0,0,0,,What is the Ogoh-Ogoh parade?,ceremony_19;ceremony_3,ceremony_19;ceremony_3;taboo_14;ceremony_7;ceremony_8;ceremony_15;ceremony_21;ceremony_14;ceremony_2;ceremony_10,1,1,0.5,1,0.6667,1,1,0.4,1,1,,What are the common reasons for an Indonesian visa application to be denied?,immigration_Article_42,immigration_Article_42;immigration_Article_13;immigration_Article_46;immigration_Article_38;immigration_Article_16;immigration_Article_101;immigration_Article_95;immigration_Article_35;immigration_Article_133;immigration_Article_62,1,1,1,1,0.3333,1,1,0.2,1,1
What items are categorized as 'Goods' under the law?,penal_Article_147,penal_Article_147;penal_Article_289;penal_Article_489;penal_Article_614;penal_Article_488;penal_Article_344;penal_Article_503;penal_Article_92;penal_Article_490;penal_Article_159,1,1,1,1,0.3333,1,1,0.2,1,1,,Who is the goddess Saraswati?,ceremony_5,ceremony_5;ceremony_6;ceremony_1;ceremony_11;ceremony_3;ceremony_23;ceremony_4;taboo_1;taboo_30;ceremony_16,1,1,1,1,0.3333,1,1,0.2,1,1,,Who is officially exempt from the requirement to have a visa?,immigration_Article_43,immigration_Article_43;immigration_Article_45;immigration_Article_13;immigration_Article_8;immigration_Article_48;immigration_Article_39;immigration_Article_36;immigration_Article_125;immigration_Article_42;immigration_Article_119,1,1,1,1,0.3333,1,1,0.2,1,1
What is the maximum imprisonment for standard murder?,penal_Article_458,penal_Article_458;penal_Article_459;penal_Article_469;penal_Article_468;penal_Article_460;penal_Article_599;penal_Article_308;penal_Article_466;penal_Article_416;penal_Article_248,1,1,1,1,0.3333,1,1,0.2,1,1,,When should tourists stay inside their hotel?,ceremony_3;taboo_31,ceremony_19;ceremony_6;taboo_31;ceremony_1;ceremony_2;ceremony_4;ceremony_16;ceremony_8;taboo_34;ceremony_7,0.3333,0,0,0,0.3333,0.5,0.3066,0.2,0.5,0.3066,,What is the primary obligation of any foreigner staying in Indonesian territory?,immigration_Article_48,immigration_Article_71;immigration_Article_63;immigration_Article_116;immigration_Article_46;immigration_Article_48;immigration_Article_118;immigration_Article_83;immigration_Article_125;immigration_Article_119;immigration_Article_78,0.2,0,0,0,0,0,0,0.2,1,0.3869
